From,To,Frequency
default,dining,790
facilities,dining,581
offers,dining,535
locationcontacts,dining,518
facilities,guestrooms,449
aboutus,dining,433
guestrooms,dining,422
default,locationcontacts,381
locationcontacts,guestrooms,336
offers,facilities,317
facilities,locationcontacts,290
aboutus,locationcontacts,282
default,guestrooms,260
offers,guestrooms,258
offers,locationcontacts,237
offers,facilities,213
facilities,dining,213
facilities,default,206
facilities,guestrooms,203
guestrooms,dining,203
aboutus,facilities,186
aboutus,default,176
